url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
100percentfedup.com,3,MBFC,996425,647582,18633,18630,993951,25166,43180,2812,1,950649,411,13,2,22,44,47,16863,441455,460818,6528,3093,5648,3129
1010wins.radio.com,5,MBFC,19957,15326,380,380,19486,1310,2149,91,2,17336,428,33,190,102,8,0,0,345,0,2353,1503,1926,0
1011now.com,5,MBFC,791873,289854,47166,47158,783048,22107,78018,968,3,705027,299,8340,317,1083,13,0,43514,3177145,625387,12589,5517,10170,3133
10tv.com,5,MBFC,889219,540266,771115,771111,703561,83935,163464,3580,4,540038,1476,180533,346,2687,63,0,540354,34947631,5114349,24260,9931,17445,78251
11alive.com,5,MBFC,9695418,4036329,945512,944546,8382264,105264,272574,9058,78,8109557,1535,1219074,1175,4725,156,2,687783,35898493,6314906,68384,15684,30077,79510
12minutos.com,3,MBFC,13711,11257,9516,9515,13699,10053,2137,61,0,11553,12,0,0,6,0,0,7584,362017,28771,6312,644,792,7
12news.com,5,MBFC,1086139,881459,779906,779775,454092,39697,129057,2225,18,324992,668,629547,156,1262,44,3,556483,31711900,5790589,30422,8826,16169,77556
12newsnow.com,5,MBFC,494249,396601,784528,784318,299518,38522,70388,1556,5,229117,320,193483,59,358,31,1,559406,31392922,5338220,14756,4911,7993,77531
13abc.com,5,MBFC,281588,154771,37941,37937,273028,20354,87922,1689,5,185092,198,7910,1485,4667,17,1,34901,2892911,515186,12631,5910,9754,3193
13newsnow.com,5,MBFC,2398194,996799,781341,781332,1772815,44156,219515,2666,18,1553275,2112,542068,186,20029,91,0,551934,28269905,5694182,29911,8641,15324,78352
13wham.com,5,MBFC,482033,308212,31756,31734,478807,20865,60935,1796,34,417575,838,1928,156642,6714,16,13,14823,139606,70760,18461,6712,11869,871
13wmaz.com,5,MBFC,901671,696705,772178,772024,379119,29814,125433,3475,0,253669,385,521516,388,2843,45,0,545795,26928710,5121604,21203,6657,11143,77700
14news.com,5,MBFC,208181,96154,145889,145884,207189,22458,79041,2403,1,128125,250,591,101,1327,70,0,73351,6047346,849486,13761,5330,8585,3328
19fortyfive.com,5,MBFC,722867,618783,36832,36832,720088,10058,47237,1367,393,672444,1132,95,5,749,93,7,36385,1622289,278640,9784,4593,7453,5888
