spotify_rank,name,network,rss_feed,host
1,The Tucker Carlson Show,Tucker Carlson Network,https://feeds.megaphone.fm/RSV1597324942,Megaphone
2,The Daily,The New York Times,https://feeds.simplecast.com/Sl5CSM3S,Simplecast
3,Up First from NPR,NPR,https://feeds.npr.org/510318/podcast.xml,NPR
4,Candace,Candace Owens,https://feeds.megaphone.fm/candace,Megaphone
5,NPR News Now,NPR,https://feeds.npr.org/500005/podcast.xml,NPR
6,The Journal.,The Wall Street Journal & Spotify Studios,https://video-api.wsj.com/podcast/rss/wsj/the-journal,WSJ
7,Pod Save America,Crooked Media,https://audioboom.com/channels/5166624.rss,Audioboom
8,The Ben Shapiro Show,The Daily Wire,https://feeds.megaphone.fm/BVDWV3121293641,Megaphone
9,"Today, Explained",Vox,https://feeds.megaphone.fm/VMP5705694065,Megaphone
10,The Megyn Kelly Show,SiriusXM,https://feeds.simplecast.com/RV1USAfC,Simplecast
11,The President's Daily Brief,PDB Media,https://feeds.megaphone.fm/THFD6217271651,Megaphone
12,The MeidasTouch Podcast,MeidasTouch Network,https://feeds.megaphone.fm/PDR2572281095,Megaphone
13,Breaking Points with Krystal and Saagar,Breaking Points,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/e7fd5ae7-7621-4e41-9b85-b0ab0164b634/4c1a5135-4197-47c9-b19b-b0ab0164b667/podcast.rss,Omny
14,Global News Podcast,BBC,https://podcasts.files.bbci.co.uk/p02nq0gn.rss,BBC
15,Part Of The Problem,Gas Digital Network,https://rss.art19.com/part-of-the-problem,ART19
16,The Matt Walsh Show,The Daily Wire,https://feeds.megaphone.fm/BVDWV7762869899,Megaphone
17,The Dan Bongino Show,Bongino Inc.,https://feeds.megaphone.fm/WWO3519750118,Megaphone
18,Morning Wire,The Daily Wire,https://feeds.megaphone.fm/BVDWV8747925072,Megaphone
19,WSJ What's News,The Wall Street Journal,https://video-api.wsj.com/podcast/rss/wsj/whats-news,WSJ
20,Pivot,Vox Media,https://feeds.megaphone.fm/pivot,Megaphone
21,Piers Morgan Uncensored,News UK Podcasts,https://feeds.megaphone.fm/RSV2152356740,Megaphone
22,The Bulwark Podcast,The Bulwark,https://audioboom.com/channels/5114286.rss,Audioboom
23,The Headlines,The Economist,https://feeds.simplecast.com/ydACIPHO,Simplecast
24,The Rest Is Politics: US,Goalhanger Podcasts,https://feeds.megaphone.fm/GLT5336643697,Megaphone
25,The NPR Politics Podcast,NPR,https://feeds.npr.org/510310/podcast.xml,NPR
26,The Michael Knowles Show,The Daily Wire,https://feeds.megaphone.fm/BVDWV5810064903,Megaphone
27,Pod Save the World,Crooked Media,https://audioboom.com/channels/5166626.rss,Audioboom
28,The Rachel Maddow Show,MSNBC,https://feeds.simplecast.com/LU_7w7GU,Simplecast
29,Raging Moderates with Scott Galloway and Jessica Tarlov,Vox Media,https://feeds.megaphone.fm/VMP7229898872,Megaphone
30,Consider This from NPR,NPR,https://feeds.npr.org/510355/podcast.xml,NPR
31,Plain English with Derek Thompson,The Atlantic,https://feeds.megaphone.fm/plain-english,Megaphone
32,IHIP News,IHIP,https://rss.art19.com/ihip-news,ART19
33,Hodgetwins Podcast,Hodgetwins,https://anchor.fm/s/f0f38d10/podcast/rss,Spotify/Anchor
34,Real Time with Bill Maher,HBO,https://feeds.megaphone.fm/WMHY1886903044,Megaphone
35,Reuters World News,Reuters,https://feeds.megaphone.fm/reutersworldnews,Megaphone
36,Every Town,Everytown for Gun Safety,https://feeds.megaphone.fm/GLSS2358935050,Megaphone
37,Bulwark Takes,The Bulwark,https://audioboom.com/channels/5149464.rss,Audioboom
38,The Glenn Beck Program,Blaze Media,https://feeds.megaphone.fm/BMDC3567910388,Megaphone
39,Louder with Crowder,Mug Club,https://rss.libsyn.com/shows/576250/destinations/4990850.xml,Libsyn
40,The Trish Regan Show,Trish Regan,https://www.omnycontent.com/d/playlist/5e27a451-e6e6-4c51-aa03-a7370003783c/d93acfd6-a015-4c06-8697-ad42013d1e7d/37eab22d-e439-45de-9895-ad42013dd283/podcast.rss,Omny
